lang,task,test_accuracy,test_duration
ent,write,0.999,0 days 00:00:57.784856
ent,read,0.997,0 days 00:00:57.774716
eno,write,0.0,0 days 00:00:57.721503
eno,read,0.0,0 days 00:00:57.234363
ar,write,0.848,0 days 00:00:57.085448
ar,read,0.995,0 days 00:00:57.124257
br,write,0.797,0 days 00:00:56.907201
br,read,0.765,0 days 00:00:57.059658
de,write,0.69,0 days 00:00:57.207515
de,read,0.771,0 days 00:00:57.284056
en,write,0.362,0 days 00:00:56.987522
en,read,0.308,0 days 00:00:57.027453
eo,write,0.997,0 days 00:00:57.085051
eo,read,0.999,0 days 00:00:57.084157
es,write,0.685,0 days 00:00:57.084331
es,read,0.881,0 days 00:00:57.184169
fi,write,0.972,0 days 00:00:57.122002
fi,read,0.926,0 days 00:00:57.150329
fr,write,0.278,0 days 00:00:57.056258
fr,read,0.795,0 days 00:00:57.208882
fro,write,0.992,0 days 00:00:57.127659
fro,read,0.903,0 days 00:00:57.197209
it,write,0.954,0 days 00:00:57.104035
it,read,0.732,0 days 00:00:57.035545
ko,write,0.824,0 days 00:00:57.200481
ko,read,0.973,0 days 00:00:57.073102
nl,write,0.715,0 days 00:00:56.942169
nl,read,0.53,0 days 00:00:57.031750
pt,write,0.765,0 days 00:00:57.033092
pt,read,0.814,0 days 00:00:57.075487
ru,write,0.409,0 days 00:00:57.178935
ru,read,0.979,0 days 00:00:57.200284
sh,write,0.994,0 days 00:00:57.043922
sh,read,0.994,0 days 00:00:57.078841
tr,write,0.955,0 days 00:00:57.150329
tr,read,0.967,0 days 00:00:57.191794
zh,write,0.183,0 days 00:00:57.206812
zh,read,0.792,0 days 00:00:56.430174
ent,write,0.997,0 days 00:00:57.254099
ent,read,0.998,0 days 00:00:57.228424
eno,write,0.0,0 days 00:00:57.219104
eno,read,0.0,0 days 00:00:57.276187
ar,write,0.839,0 days 00:00:57.083937
ar,read,0.99,0 days 00:00:57.173536
br,write,0.812,0 days 00:00:56.950587
br,read,0.765,0 days 00:00:57.061348
de,write,0.688,0 days 00:00:57.233045
de,read,0.774,0 days 00:00:57.298252
en,write,0.356,0 days 00:00:57.033343
en,read,0.324,0 days 00:00:57.061261
eo,write,0.992,0 days 00:00:57.094731
eo,read,0.998,0 days 00:00:57.173546
es,write,0.65,0 days 00:00:57.110347
es,read,0.857,0 days 00:00:57.167535
fi,write,0.981,0 days 00:00:57.298824
fi,read,0.93,0 days 00:00:57.291997
fr,write,0.294,0 days 00:00:57.183750
fr,read,0.781,0 days 00:00:57.230791
fro,write,0.993,0 days 00:00:57.197479
fro,read,0.897,0 days 00:00:57.236259
it,write,0.934,0 days 00:00:57.130085
it,read,0.706,0 days 00:00:57.245220
ko,write,0.822,0 days 00:00:57.259862
ko,read,0.977,0 days 00:00:57.116295
nl,write,0.721,0 days 00:00:57.018544
nl,read,0.533,0 days 00:00:57.125874
pt,write,0.759,0 days 00:00:57.060431
pt,read,0.82,0 days 00:00:57.109301
ru,write,0.398,0 days 00:00:57.278028
ru,read,0.973,0 days 00:00:57.240339
sh,write,0.99,0 days 00:00:57.115711
sh,read,0.996,0 days 00:00:57.128009
tr,write,0.954,0 days 00:00:57.216100
tr,read,0.957,0 days 00:00:57.224299
zh,write,0.189,0 days 00:00:57.171692
zh,read,0.781,0 days 00:00:56.567174
ent,write,0.998,0 days 00:00:57.415349
ent,read,0.999,0 days 00:00:57.321485
eno,write,0.0,0 days 00:00:57.391564
eno,read,0.0,0 days 00:00:57.394293
ar,write,0.833,0 days 00:00:57.188864
ar,read,0.995,0 days 00:00:57.250853
br,write,0.815,0 days 00:00:57.075841
br,read,0.739,0 days 00:00:57.172244
de,write,0.705,0 days 00:00:57.341269
de,read,0.758,0 days 00:00:57.496249
