fr,r,bidépartementaliseront,bidepaʁtəmɑ̃talizəʁɔ̃
eno,r,hxehzp,abʒuro
tr,w,kɯpɯrdatɯɫadʒaksɯn,kıpırdatılacaksın
fi,r,rapsien,rapsien
nl,r,wegvloog,ʋɛχvloχ
fi,w,iskostaen,iskostaen
tr,r,bağışlamamak,baɯʃɫamamak
zh,w,tʂən˥˥tʂɤ,嗔着
ru,w,zərɨbɪt,зарыбить
nl,w,zenʏʋɑxtəx,zenuwachtig
sh,w,obeznaɲenost,obeznanjenost
zh,w,tʂəŋ˥˥,争
br,w,kredapl,kredapl
it,r,arrendere,arrɛndere
de,r,hochdienend,hoxdinənt
eno,r,ʒwjxkjrʃxʃ,dʒuriɡardi
it,w,sukkjare,succhiare
zh,r,颊,tɕia˧˥
pt,w,kalidu,cálido
de,w,aʊsbakt,ausbackt
en,r,strombus,stɹɑmbəs
ru,w,ɐblɪplɪvəfʂɨs,облепливавшись
en,w,əklaɪmətaɪz,acclimatize
zh,w,tɕiɑŋ˧˥uei˥˥,蔷薇
de,r,knüppelkuchens,knʏpəlkuxns
fro,w,ʁəmaʃɔnasje,remaçonasyé
eo,w,katalune,katalune
zh,w,piɛn˥˩po˧˥,辩驳
it,r,constatare,konstatare
eo,r,ŝarĝaŭtisto,ʃardʒawtisto
nl,w,sxrɪkwɛkəndər,schrikwekkender
zh,w,in˨˩˦tɕy˥˥,隐居
pt,w,ɐdmitiɾ,admitir
ar,w,ħasˤanat,حَصَنَتْ
ent,r,tsertinte,tsertinte
fi,w,veistæː,veistää
de,w,dɪstsipliniʁət,disziplinieret
de,w,tsvaɪpʁotsɛntɪɡə,zweiprozentige
es,w,toɣoleses,togoleses
zh,r,身处,ʂən˥˥tʂu˨˩˦
de,r,neuweltkamels,nɔɪvɛltkamels
de,w,ɔkupiɐtəst,okkupiertest
pt,r,afogueado,ɐfuɡjadu
it,w,ventɛzimo,ventesimo
sh,r,skrejperist,skrejperist
sh,r,kontraš,kontraʃ
sh,r,restrikcija,restriktsija
fi,r,kehittivät,kehɪtːɪvæt
ent,r,ɡrandiɡite,ɡrandiɡite
fr,w,fɔnɔlɔʒizjɔ̃,phonologisions
ru,w,ɪdʊmɪj,идумей
sh,r,dompter,dompter
pt,r,anal,ɐnaɫ
en,w,tʃæps,chaps
en,r,faffy,fæfi
eo,w,kompostante,kompostante
